Date,voo.trt,blv.trt,rfr.trt
2011-01-01,NA,NA,0.0019
2011-02-01,0.03466475326288054,0.010253369406606927,0.0019
2011-03-01,-0.004434192566317718,-0.003345311831055242,0.0019
2011-04-01,0.033972456075696655,0.027357782144033838,0.0019
2011-05-01,-0.011698891403851608,0.029921146350824657,0.0019
2011-06-01,-0.021566354506194485,-0.02193960628007674,0.0019
2011-07-01,-0.01579033854554157,0.043098640425233814,0.0019
2011-08-01,-0.05516087643426326,0.05085238766175748,0.0019
2011-09-01,-0.07306558443143052,0.05982282196701494,0.0019
2011-10-01,0.11364238105028623,-0.0016480101821380044,0.0019
2011-11-01,-0.002965638907329371,-0.008867350958298159,0.0019
2011-12-01,0.005249455221520094,0.024154279085722763,0.0019
2012-01-01,0.0509832076896648,0.025350757812369284,0.0019
2012-02-01,0.04281915964318683,-0.0106623016704962,0.0019
2012-03-01,0.028439001623019156,-0.0289767789922577,0.0019
2012-04-01,-0.0019374459143678413,0.032468459527313476,0.0019
2012-05-01,-0.06003771181862283,0.05126911986547644,0.0019
2012-06-01,0.03592820616049974,-0.004054166712686658,0.0019
2012-07-01,0.017346971944512513,0.04309643962860732,0.0019
2012-08-01,0.025067691496576394,-0.006866366090509057,0.0019
2012-09-01,0.020275462048203075,-0.007527852759019349,0.0019
2012-10-01,-0.014532363968235429,0.00485312952103123,0.0019
2012-11-01,0.0057247728183551505,0.003941989068183327,0.0019
2012-12-01,0.0029231995272098743,-0.0311694370582144,0.0019
2013-01-01,0.05925626779818316,-0.011619716922390833,0.0019
2013-02-01,0.013273215229026025,0.014482910338804,0.0019
2013-03-01,0.031236507501390287,-0.005377428867799572,0.0019
2013-04-01,0.02577748918724687,0.036945384936707404,0.0019
2013-05-01,0.023242801954696857,-0.05530702803283516,0.0019
2013-06-01,-0.020042515535543926,-0.040162988508833264,0.0019
2013-07-01,0.05837600730956671,-0.0065108629903183335,0.0019
2013-08-01,-0.03081699949329164,-0.013726235813845578,0.0019
2013-09-01,0.02872408489373246,0.00595352458235654,0.0019
2013-10-01,0.04992779898399902,0.023224646745990674,0.0019
2013-11-01,0.029960420985230884,-0.017556154932622192,0.0019
2013-12-01,0.020820743038218126,-0.010276442287943,0.0019
2014-01-01,-0.030046876264364974,0.05784835598716831,0.0019
2014-02-01,0.04565538787160306,0.006300976219203891,0.0019
2014-03-01,0.004219364268615244,0.009451161648317719,0.0019
2014-04-01,0.011835156200259211,0.023548461307959734,0.0019
2014-05-01,0.02294483451824192,0.021141733417662456,0.0019
2014-06-01,0.01631215692590282,0.0020641339723210805,0.0019
2014-07-01,-0.009324176263219908,-4.931174155264895e-5,0.0019
2014-08-01,0.03972639654780519,0.03985897438995556,0.0019
2014-09-01,-0.018479248952787297,-0.02459255096644386,0.0019
2014-10-01,0.02890800704823171,0.019033029874172325,0.0019
2014-11-01,0.027577740124105077,0.016938285961849653,0.0019
2014-12-01,-0.008577371551461876,0.017870716171991097,0.0019
2015-01-01,-0.02330385863192319,0.07270473546555367,0.0019
2015-02-01,0.055795292902754534,-0.044599039376490124,0.0019
2015-03-01,-0.020704106388714116,0.0067436418574660095,0.0019
2015-04-01,0.015195673860016967,-0.02592647297370998,0.0019
2015-05-01,0.012506642543612223,-0.02286939679297162,0.0019
2015-06-01,-0.024032476978313788,-0.03449483593004965,0.0019
2015-07-01,0.02654106064320727,0.030676091837327668,0.0019
2015-08-01,-0.06136288093760511,-0.011148638384295917,0.0019
2015-09-01,-0.029816112986549514,0.011026656318452455,0.0019
2015-10-01,0.09028244755423387,0.006339182962027623,0.0019
2015-11-01,0.004250754392359113,-0.008760755325099012,0.0019
2015-12-01,-0.02320162647424251,-0.016791579047220173,0.0019
2016-01-01,-0.043444362803047754,0.03209840891416582,0.0019
2016-02-01,-0.0020817666715728933,0.017672195412336,0.0019
2016-03-01,0.06302856285956393,0.03259916364954374,0.0019
2016-04-01,0.008886105474650519,0.011102333921614305,0.0019
2016-05-01,0.01754569274041229,7.529299709518877e-4,0.0019
2016-06-01,-0.0017658929352503128,0.05135402514219489,0.0019
2016-07-01,0.042018217617886044,0.027582222574327186,0.0019
2016-08-01,0.0012043136457757786,-0.00360549814106359,0.0019
2016-09-01,-0.00416008830886283,-0.008598595685323285,0.0019
2016-10-01,-0.013528502899680994,-0.030544406787681333,0.0019
2016-11-01,0.037257080402674836,-0.06319890583011467,0.0019
2016-12-01,0.014377599445299927,0.004323267363465222,0.0019
2017-01-01,0.024190663889565034,0.014173698482926822,0.0019
2017-02-01,0.038761523483228144,0.014727025284109185,0.0019
2017-03-01,-0.003316839340417266,-0.0068031745222455475,0.0019
2017-04-01,0.01509912546129022,0.015553903453226603,0.0019
2017-05-01,0.014043765006839903,0.019087720652963824,0.0019
2017-06-01,0.0017594788873702694,0.008910387437756295,0.0019
2017-07-01,0.025247770964788918,0.004046171715297087,0.0019
2017-08-01,0.00291215789369903,0.02067242134368863,0.0019
2017-09-01,0.015222230125968572,-0.008406126641859468,0.0019
2017-10-01,0.028512184102390536,2.525945203455393e-4,0.0019
2017-11-01,0.030576281647027193,0.007479079501000463,0.0019
2017-12-01,0.007972018599417208,0.015641470799121038,0.0019
2018-01-01,0.0609377010864105,-0.01564076802753267,0.0019
2018-02-01,-0.03726011048815492,-0.03429362778372247,0.0019
2018-03-01,-0.029116839681347928,0.015045481193990407,0.0019
2018-04-01,0.008059620312394822,-0.0222292313204272,0.0019
2018-05-01,0.024164230046773483,0.014388129639309577,0.0019
2018-06-01,0.0028939320229626198,-0.005958073408048548,0.0019
